location,title,name,type_appoitment,pay_plan,pay_level_grade,tenure,expires,agency,big_office,little_office,year
"Washington, DC",Inspector General ,George Joseph Opfer,PAS,OT,"$170,259",,,DEPARTMENT OF VETERANS AFFAIRS OFFICE OF THE INSPECTOR GENERAL,IMMEDIATE OFFICE OF,,2012
"Washington, DC",Board Chairperson ,Rafael Moure-Eraso,PAS,EX,IV,,06/24/15,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",Board Member ,John S. Bresland,PAS,EX,IV,,03/14/13,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",Board Member ,Mark A. Griffon,PAS,EX,IV,,06/24/15,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",Board Member ,Vacant,PAS,EX,IV,,,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",Board Member ,Vacant,PAS,EX,,,,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",General Counsel ,Career Incumbent,C,ES,,,,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",Chief Operating Officer ,Vacant,,ES,,,,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",Special Assistant - Deepwater Horizon ,Daniel Horowitz,TA,ES,,3 Months,04/22/15,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,,,2012
"Washington, DC",Chairman ,Dennis C. Shea,XS,PD,,2 Years,12/31/12,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Vice Chairman ,William A. Reinsch,XS,PD,0,2 Years,12/31/13,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,Carolyn Bartholomew,XS,PD,0,2 Years,12/31/13,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,Daniel A. Blumenthal,XS,PD,0,2 Years,12/31/13,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,Peter T. Brookes,XS,PD,0,2 Years,12/31/13,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,Robin Cleveland,XS,PD,0,2 Years,12/31/12,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,C. Richard D'Amato,XS,PD,0,2 Years,12/31/12,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,Jeffrey L. Fiedler,XS,PD,0,2 Years,12/31/12,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,Carte P. Goodwin,XS,PD,0,2 Years,12/31/13,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,Daniel M. Slane,XS,PD,0,2 Years,12/31/13,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,Michael R. Wessel,XS,PD,0,2 Years,12/31/12,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Commissioner ,Larry M. Wortzel,XS,PD,0,2 Years,12/31/12,UNITED STATES - CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,,,2012
"Washington, DC",Secretary ,Kenneth Salazar,PAS,EX,I,,,DEPARTMENT OF THE INTERIOR,,,2012
"Washington, DC",Chief Information Officer ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Director of Executive Secretariat and Office of Regulatory Affairs ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Chief of Staff ,Laura Daniel Davis,,ES,,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Communications Director ,Katherine P. Kelly,,ES,,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Deputy Chief of Staff ,Matthew Lee-Ashley,,ES,,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Counselor to the Secretary ,Steven W. Black,,ES,,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Senior Advisor to the Secretary ,Kenneth L. Lane,,ES,,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Senior Advisor to the Secretary ,Robert G. Stanton,,ES,,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Sacramento, CA",Senior Advisor for California and Nevada ,David Nawi,,ES,,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC","Director, Intergovernmental Affairs ",Gail A. Adams,,ES,,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Counselor for America's Great Outdoors ,William G. Shafroth,,ES,,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Senior Advisor to the Secretary ,Rebecca R. Wodder,,ES,,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Special Assistant to the Secretary ,Joan Padilla,SC,GS,15,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Senior Advisor for Alaskan Affairs ,Kim Steven Elton,SC,GS,15,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Special Assistant ,Nealesh A. Kemkar,SC,GS,15,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Special Assistant ,Janea A. Scott,SC,GS,14,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Anchorage, AK",Deputy Alaska Director ,Patrick J. Pourchot,SC,GS,14,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Missoula, MT",Senior Advisor for Northwest Region ,Stephen A. Doherty,SC,GS,15,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Denver, CO",Senior Advisor for Southwest and Rocky Mountain Regions ,Alan J. Gilbert,SC,GS,15,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Director of New Media ,Timothy A. Fullerton,SC,GS,14,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Staff Assistant ,Jennifer R. Sisk,SC,GS,9,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC","Deputy Director, Intergovernmental Affairs ",Francisco Carrillo,SC,GS,13,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Special Assistant for Advance ,Jenny E. Sarabia,SC,GS,13,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Press Secretary ,Adam K. Fetcher,SC,GS,13,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Senior Advisor to the Secretary ,Sarah Devins Greenberger,SC,GS,15,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",White House Liaison ,Benjamin E. Milakofsky,SC,GS,13,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Program Coordinator ,Christopher Danny Hosein,SC,GS,11,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Trip Director ,Jonathan E. Adler,SC,GS,13,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Special Assistant ,Nana Efua E. Embil,SC,GS,11,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Special Assistant ,Kristina T. Broadie,SC,GS,9,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC","Deputy Director, External Affairs ",Teresa L. Johnson,SC,GS,14,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Special Assistant ,Israporn Pananon,SC,GS,9,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Special Assistant ,Marc C. Littlejohn,SC,GS,13,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Deputy Director of Scheduling ,Jason M. Fink,SC,GS,12,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Special Assistant to Scheduling in the Office of Scheduling and Advance ,Francis Iacobucci,SC,GS,11,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Deputy Communications Director ,Blake J. Androff,SC,GS,14,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Press Assistant ,Queen C. Muse,SC,GS,8,,,DEPARTMENT OF THE INTERIOR,SECRETARY'S IMMEDIATE OFFICE,,2012
"Washington, DC",Deputy Secretary ,David J. Hayes,PAS,EX,II,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE DEPUTY SECRETARY,,2012
"Washington, DC",Associate Deputy Secretary ,Elizabeth Anne Klein,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE DEPUTY SECRETARY,,2012
"Washington, DC",Counselor ,Alletta Belin,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE DEPUTY SECRETARY,,2012
"Washington, DC",Special Assistant ,James E. Anderson,SC,GS,7,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE DEPUTY SECRETARY,,2012
"Washington, DC",Chief of Staff ,Elizabeth S. Marsters,SC,GS,12,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE DEPUTY SECRETARY,,2012
"Washington, DC",Counselor ,Raya V. Bakalov,SC,GS,14,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE DEPUTY SECRETARY,,2012
"Washington, DC",Legislative Counsel ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF CONGRESSIONAL AND LEGISLATIVE AFFAIRS,,2012
"Washington, DC",Director ,Christopher J. Mansour,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF CONGRESSIONAL AND LEGISLATIVE AFFAIRS,,2012
"Washington, DC",Deputy Director ,Heather M. Urban,SC,GS,15,,,DEPARTMENT OF THE INTERIOR,OFFICE OF CONGRESSIONAL AND LEGISLATIVE AFFAIRS,,2012
"Washington, DC",Deputy Director ,Jason L. Buckner,SC,GS,15,,,DEPARTMENT OF THE INTERIOR,OFFICE OF CONGRESSIONAL AND LEGISLATIVE AFFAIRS,,2012
"Washington, DC",Special Assistant ,Lauren Bogard,SC,GS,11,,,DEPARTMENT OF THE INTERIOR,OFFICE OF CONGRESSIONAL AND LEGISLATIVE AFFAIRS,,2012
"Washington, DC",Special Trustee ,Vacant,PAS,EX,II,,,DEPARTMENT OF THE INTERIOR,OFFICE OF SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2012
"Albuquerque, NM","Director, Office of Trust Records ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2012
"Albuquerque, NM",Deputy Special Trustee - Trust Accountability ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2012
"Albuquerque, NM",Principal Deputy Special Trustee ,Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2012
"Albuquerque, NM",Deputy Special Trustee - Trust Services ,Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2012
"Albuquerque, NM",Deputy Special Trustee - Field Operations ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2012
"Albuquerque, NM","Director, Trust Review and Audit ",Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2012
"Albuquerque, NM",Regional Fiduciary Trust Administrator ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2012
"Albuquerque, NM",Regional Fiduciary Trust Administrator ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2012
"Albuquerque, NM",Regional Fiduciary Trust Administrator ,Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2012
"Albuquerque, NM",Regional Fiduciary Trust Administrator ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2012
"Albuquerque, NM",Regional Fiduciary Trust Administrator ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2012
"Albuquerque, NM",Regional Fiduciary Trust Administrator ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2012
"Albuquerque, NM",Associate Principal Deputy Special Trustee ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2012
"Washington, DC",Senior Advisor ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF SPECIAL TRUSTEE FOR AMERICAN INDIANS,,2012
"Washington, DC",Chairman ,Tracie Lee Stevens,PAS,EX,IV,,,DEPARTMENT OF THE INTERIOR,NATIONAL INDIAN GAMING COMMISSION,,2012
"Washington, DC",Associate Member ,Steffani A. Cochran,XS,AD,"$145,700",,,DEPARTMENT OF THE INTERIOR,NATIONAL INDIAN GAMING COMMISSION,,2012
"Washington, DC",Associate Member ,Daniel J. Little,XS,AD,"$145,700",,,DEPARTMENT OF THE INTERIOR,NATIONAL INDIAN GAMING COMMISSION,,2012
"Washington, DC",General Counsel ,Lawrence Scott Roberts,XS,AD,"$155,500",,,DEPARTMENT OF THE INTERIOR,NATIONAL INDIAN GAMING COMMISSION,,2012
"Washington, DC",Solicitor ,Hilary C. Tompkins,PAS,EX,IV,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2012
"Washington, DC",Associate Solicitor (Indian Affairs) ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2012
"Washington, DC",Associate Solicitor (Land and Water Resources) ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2012
"Washington, DC",Associate Solicitor (General Law) ,Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2012
"Washington, DC",Associate Solicitor (Division of Parks and Wildlife) ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2012
"Washington, DC",Deputy Solicitor ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2012
"Washington, DC",Associate Solicitor (Division of Mineral Resources) ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2012
"Washington, DC",Deputy Solicitor ,Rachel Jacobson,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2012
"Washington, DC",Deputy Solicitor (Parks and Wildlife) ,Martha Macgill Colhoun Williams,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2012
"Washington, DC",Deputy Solicitor (Indian Affairs) ,Partice H. Kunesh,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2012
"Washington, DC",Deputy Solicitor ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2012
"Washington, DC",Deputy Solicitor (Land Resources) ,Edward A. Boling,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2012
"Washington, DC",Deputy Solicitor (Water Resources) ,Paul F. Holleman,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2012
"Washington, DC",Counselor to the Solicitor ,Robert Scott Nuzum,SC,GS,12,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,,2012
"Portland, OR","Regional Solicitor, Pacific Northwest Region ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,Field Offices,2012
"Anchorage, AK","Regional Solicitor, Alaska Region ",Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,Field Offices,2012
"Lakewood, CO","Regional Solicitor, Rocky Mountain Region ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,Field Offices,2012
"Newton, MA","Regional Solicitor, Northeast Region ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,Field Offices,2012
"Albuquerque, NM","Regional Solicitor, Southwest Region ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,Field Offices,2012
"Atlanta, GA","Regional Solicitor, Southeast Region ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,Field Offices,2012
"Salt Lake City, UT","Regional Solicitor, Intermountain Region ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,Field Offices,2012
"Los Angeles, CA","Regional Solicitor, Pacific Southwest Region ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,OFFICE OF THE SOLICITOR,Field Offices,2012
"Washington, DC",Assistant Secretary ,Rhea S. Suh,PAS,EX,IV,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Director, Office of Civil Rights ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Director, Office of Environmental Policy and Compliance ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Director, Office of Budget ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Director, Office of Policy Analysis ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Deputy Director, Office of Budget ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Deputy Assistant Secretary, Policy and International Affairs ",Lorraine V. Faeth,,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Deputy Director, Office of Policy Analysis ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Deputy Director, Office of Environmental Policy and Compliance ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Director, Office of Wildland Fire Coordination ",Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Director, Office of Planning and Performance Management ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Associate Director, Facility and Property Management ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC",Deputy Chief Information Officer ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Director, Office of Acquisition and Property Management ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Director, Strategic Employee Development ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Director, Office of Restoration and Damage Assessment ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC",Interagency Borderland Coordinator ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Director, Office of Emergency Management ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Director, Office of Valuation Services ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Senior Advisor to the Deputy Assistant Secretary - Budget, Finance, Performance and Acquisition ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Deputy Assistant Secretary - Technology, Information and Business Services ",Joseph Andrew Jackson,,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC",FBMS Program Coordinator ,Hope Y. Mentore-Smith,TA,ES,,,02/14/13,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC",Chief Diversity Officer ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Senior Advisor to the Deputy Assistant Secretary, Law Enforcement, Security and Emergency Management ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Deputy Assistant Secretary, Natural Resources Revenue Management ",Paul A. Mussenden,,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC","Deputy Director, Office of Strategic Employee and Organizational Development ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC",Associate Deputy Chief Information Officer ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC",Senior Advisor ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC",Deputy Chief Information Officer - Shared Services ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Herndon, VA",FBMS Program Director ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC",Special Assistant ,Sarah E. Peterson,SC,GS,14,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC",Special Assistant ,Nahal Hamidi,SC,GS,11,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",,2012
"Washington, DC",Director ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",National Business Center,2012
"Boise, ID","Associate Director, Aviation Management Directorate ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",National Business Center,2012
"Washington, DC","Associate Director, Human Resources Directorate ",Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",National Business Center,2012
"Herndon, VA","Associate Director, Acquisition Services Directorate ",Vacant,,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",National Business Center,2012
"Washington, DC",Deputy Director ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",National Business Center,2012
"Washington, DC",Chief Financial Officer ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",National Business Center,2012
"Washington, DC","Assistant Director, Information Resources ",Edmund Crump,TA,ES,,,12/31/13,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",National Business Center,2012
"Washington, DC",Director ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",Office of Natural Resources Revenue Management,2012
"Washington, DC",Principal Deputy Director ,Career Incumbent,C,ES,,,,DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",Office of Hearings and Appeals,2012
"Washington, DC",Assistant Secretary ,Anthony M. Babauta,PAS,EX,IV,,,DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INSULAR AFFAIRS,,2012
